,type,title,fuction,img,url
36,팽이버섯,설한(Seolhan),,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvOmpatI2aqb7OHqNrJWntrs3fCBe83GYJtr@G9Xgc/x4!, 
37,수수,더하메(Thehamae),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvs2Op6MvTzFeXyhbuwEAd9M3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=AJRGbuiYXVQImFCNCrrMZuikUhQYIimLfKHAfcUayAwgtddDAjYaqNontGvAzxmpfvRyqiACLkJbPaRPFewzmdiBjWHqOEJLiXwa
38,콩나물콩,신바람(Sinbaram),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvGUmjofgHSkUjYSwvBdG@RM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=XzSbVZOcDSCmhrezpknzfAiewHUWudvJwDYiiHXSseYAFBfccXpPHvQKXWgpwINbKAUlaVUhopKDSwjqxycMjEsiGYeptToCsScF
39,콩,세움(Seum),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv@WreGXqR7ncx9wf5h7tGM83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=WzZLVnrYNUTsJtvlwqcQVgQtzkqXoPnWJtkpimyhgUbLkqVdgmjoKmiqYondCrPPSCQwbXpXmycRYiYhmfsSoLLtzVVHpjBvOOQj
40,사과,하나벨(Hanabell)(Hanabell),미관 우수,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv9r@TBKJaUyi0BSB2PFhcqs3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=LELiUHarSvGfibbOyjlEzXWsqutdaWcEnmPWHNmiQIJatVxBEUTCsYkBTfpdBmDSrqOKVlkkBQIbpyCyFptFSDPgGuCcJLnJUrEr
41,박,원예3303(Wonye3303),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvRRYBQSQD4RYWGoH/Th5MNM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=rMENnlqJDllazwljfxKUWOVqBKQPhtyBMJXCAsHWVOTMxSoqAkkjAGdMNdUXFZmVkKYkzeJLXGQGbbfmSTheClorwTEgVcYpoPks
42,스프레이,코랄비치(Coral Beach),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvcRCGKlJNb7ACqmAwCUy@Sc3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=UWqBGyVILrWDrdABfBDLiDCbclHDOgaPlEOYZAfzfbfVxCyYrvACvSHvUZeOjzLbNViBiULZqNogpEDGbgLNYdvRnhIVpHNbctcW
43,상추,진풍흑치마(Jinpung Heukchima),"다수량성, 식미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvUzyvARG7rrc3tSwAHrVqrs3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=eYzusMcjAowEWTpqkZXpCbcmeNmSyMEoKPGMGpculmBdphhboCmUJppOSytlijkhDAmDDqFhwBaokMsIBMfNpsGamZOybguZdUtL
44,기타감귤,조은예감(Joeunwegam),무핵,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv@u@A/Y7AgqtGI2926qWbl83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=hptEXvjnVdOVWqqbzwYwZEWNlQlnPhvhIJurPupSpYpNeVzlExAWVeAwduNjqmgeAROqtLMpqbpRibOGWblwSQKwHfhzfwamtLpK
45,감자,아란(Alan),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvrpil7RVA1GOgVHk1IanpfM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=vmGOGZZqMNHMEGkqWIiGzCNtWSPDDLYeSHdyypgHcOeedVmwVKzZqJnEoZrVphByPAmKNeLNbJYRBbOIPmLTNYLgqAeHtWXSfXNB
